                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4826,                 5.1553,                 1.0897,                0.00224,                0.27803,                0.05116,                0.03476,                 1.2292,                 4.2561,                0.92448,               0.070811,              0.0032432,              0.0032432
                      1,                 1.3174,                 2.8249,                 1.0143,                 0.0063,                0.86797,                0.62946,                0.42728,                 1.2568,                 3.5513,                0.99495,               0.040785,              0.0065505,              0.0065505
                      2,                 1.2722,                 2.0198,                 1.0059,                0.75177,                0.69447,                0.85918,                0.49597,                 1.4508,                 1.9704,                 1.1574,               0.010732,              0.0098314,              0.0098314
                      3,                 1.2505,                 1.7176,                 1.0169,                0.90027,                 0.7761,                0.90084,                0.56991,                 1.3108,                 1.4477,                 1.1638,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.2017,                 1.4573,                 1.0098,                0.89429,                0.69055,                0.87065,                0.54676,                 1.3281,                 1.6958,                 1.1419,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.1548,                 1.2784,                 1.0142,                0.81559,                0.75426,                0.90294,                0.59635,                 1.2588,                 1.5624,                 1.0858,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.1362,                  1.103,                 1.0067,                0.90637,                 0.9229,                0.94793,                0.57561,                    1.3,                 1.1388,                 1.1312,               0.009802,               0.009802,               0.009802
                      7,                 1.1211,                 1.0238,                0.99907,                0.82305,                0.84781,                0.87549,                0.53161,                 1.3392,                 1.9995,                 1.1339,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1017,                0.92836,                 1.0014,                0.84161,                0.80681,                0.85189,                0.54646,                 1.3765,                 1.0197,                 1.1567,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.0907,                0.88196,                0.98345,                0.83842,                0.74663,                0.85595,                0.62138,                 1.1233,                 1.8499,                 1.0244,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.0593,                0.80863,                0.97156,                0.94629,                0.87556,                 0.9601,                0.66939,                 1.1209,                0.73523,                 1.0159,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.0134,                0.75654,                0.96002,                0.95557,                0.90323,                0.97673,                0.69377,                 1.1184,                0.74262,                  1.025,               0.009604,               0.009604,               0.009604
                     12,                 1.0114,                 0.7268,                0.96156,                0.87366,                0.94609,                0.96313,                0.67986,                 1.1433,                0.73374,                 1.0433,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.0568,                0.72528,                0.97226,                0.88378,                0.90375,                0.94614,                0.66226,                 1.1203,                0.77348,                 1.0135,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.0091,                0.67824,                0.94757,                0.95803,                0.92035,                0.97352,                0.66953,                 1.1842,                0.71643,                 1.0462,              0.0094852,              0.0094852,              0.0094852
                     15,                0.98811,                0.65488,                0.95294,                 0.9084,                0.83738,                 0.9259,                0.66412,                  1.129,                0.81989,                 1.0418,              0.0094456,              0.0094456,              0.0094456
                     16,                0.99114,                0.63414,                0.94615,                 0.9244,                0.91777,                0.95614,                0.65698,                  1.158,                0.71034,                 1.0368,               0.009406,               0.009406,               0.009406
                     17,                 1.0054,                0.64766,                0.95547,                0.92148,                0.97062,                0.96644,                0.66297,                 1.0977,                0.68753,                 1.0053,              0.0093664,              0.0093664,              0.0093664
                     18,                0.98011,                 0.6228,                0.94537,                 0.9309,                0.89935,                0.95784,                 0.7152,                 1.0028,                0.62891,                0.98671,              0.0093268,              0.0093268,              0.0093268
                     19,                0.96443,                0.61391,                0.93879,                0.89578,                0.92633,                0.96624,                0.68344,                 1.1268,                0.66742,                 1.0408,              0.0092872,              0.0092872,              0.0092872
                     20,                0.94991,                0.59175,                0.93731,                0.83765,                0.77485,                0.83409,                0.55381,                 1.2314,                 1.0462,                 1.0414,              0.0092476,              0.0092476,              0.0092476
                     21,                0.95563,                0.58634,                  0.937,                0.90258,                0.86721,                0.92661,                0.68111,                 1.0848,                0.71912,                 1.0403,               0.009208,               0.009208,               0.009208
                     22,                0.94453,                0.58106,                0.93728,                0.90023,                0.91571,                0.93253,                0.68912,                 1.1429,                0.70251,                 1.0525,              0.0091684,              0.0091684,              0.0091684
                     23,                0.92427,                0.56042,                0.92935,                0.94628,                0.91366,                0.97658,                0.71797,                 1.0533,                0.64054,                 0.9831,              0.0091288,              0.0091288,              0.0091288
                     24,                0.94315,                0.56643,                0.93255,                0.70282,                 0.7026,                0.81008,                0.56111,                 1.1762,                 2.0483,                 1.0453,              0.0090892,              0.0090892,              0.0090892
                     25,                0.93575,                0.56001,                0.92754,                0.97392,                0.89888,                0.97224,                0.69345,                 1.0985,                0.61319,                0.99734,              0.0090496,              0.0090496,              0.0090496
                     26,                 0.9131,                0.53833,                0.91867,                 0.9525,                0.91952,                0.96071,                0.71322,                 1.0174,                0.60708,                0.97758,                0.00901,                0.00901,                0.00901
                     27,                0.92523,                0.52557,                0.92088,                0.84887,                 0.9729,                0.97791,                0.69373,                 1.0135,                0.56878,                0.98973,              0.0089704,              0.0089704,              0.0089704
                     28,                0.91926,                0.55516,                0.92199,                0.97764,                0.92505,                0.96369,                0.72585,                 1.0349,                0.58287,                0.97978,              0.0089308,              0.0089308,              0.0089308
                     29,                0.91393,                0.53649,                0.91891,                0.89582,                0.95438,                0.97315,                0.67391,                 1.0982,                 0.6056,                0.99093,              0.0088912,              0.0088912,              0.0088912
                     30,                0.91041,                0.52911,                0.92078,                 0.9351,                0.96068,                0.98481,                0.72748,                 1.0166,                0.54761,                0.98483,              0.0088516,              0.0088516,              0.0088516
                     31,                0.89426,                0.50652,                0.91061,                0.96121,                  0.911,                0.96988,                0.73087,                 1.0072,                0.60308,                0.96738,               0.008812,               0.008812,               0.008812
                     32,                0.90888,                0.51349,                 0.9247,                0.91265,                0.93023,                0.97629,                 0.7196,                 1.0158,                0.53715,                0.96622,              0.0087724,              0.0087724,              0.0087724
                     33,                 0.8852,                0.50727,                0.90891,                0.94168,                0.88601,                0.94538,                0.69071,                 1.0232,                 0.6557,                0.97583,              0.0087328,              0.0087328,              0.0087328
                     34,                0.90892,                0.51855,                0.91038,                0.94849,                0.86126,                  0.972,                0.72882,                 1.0209,                0.58311,                0.97151,              0.0086932,              0.0086932,              0.0086932
                     35,                0.89346,                0.51632,                0.91415,                0.95044,                0.90819,                 0.9673,                 0.7242,                 1.0067,                0.52688,                0.97144,              0.0086536,              0.0086536,              0.0086536
                     36,                0.87575,                0.48965,                0.90507,                0.89255,                0.95054,                0.95964,                0.71297,                 1.0055,                0.58422,                0.96572,               0.008614,               0.008614,               0.008614
                     37,                0.88954,                0.49015,                0.90752,                0.91815,                 0.9765,                 0.9805,                0.73806,                 1.0442,                0.55884,                0.98094,              0.0085744,              0.0085744,              0.0085744
